Id,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
0,3,0,22.0,1,0,7.25,1,0
1,1,1,38.0,1,0,71.2833,0,1
2,3,1,26.0,0,0,7.925,1,1
3,1,1,35.0,1,0,53.1,1,1
4,3,0,35.0,0,0,8.05,1,0
5,3,0,20.0,0,0,8.4583,2,0
6,1,0,54.0,0,0,51.8625,1,0
7,3,0,2.0,3,1,21.075,1,0
8,3,1,27.0,0,2,11.1333,1,1
9,2,1,14.0,1,0,30.0708,0,1
10,3,1,4.0,1,1,16.7,1,1
11,1,1,58.0,0,0,26.55,1,1
12,3,0,20.0,0,0,8.05,1,0
13,3,0,39.0,1,5,31.275,1,0
14,3,1,14.0,0,0,7.8542,1,0
15,2,1,55.0,0,0,16.0,1,1
16,3,0,2.0,4,1,29.125,2,0
17,2,0,30.0,0,0,13.0,1,1
18,3,1,31.0,1,0,18.0,1,0
19,3,1,38.0,0,0,7.225,0,1
20,2,0,35.0,0,0,26.0,1,0
21,2,0,34.0,0,0,13.0,1,1
22,3,1,15.0,0,0,8.0292,2,1
23,1,0,28.0,0,0,35.5,1,1
24,3,1,8.0,3,1,21.075,1,0
25,3,1,38.0,1,5,31.3875,1,1
26,3,0,32.0,0,0,7.225,0,0
27,1,0,19.0,3,2,263.0,1,0
28,3,1,22.0,0,0,7.8792,2,1
29,3,0,34.0,0,0,7.8958,1,0
30,1,0,40.0,0,0,27.7208,0,0
31,1,1,39.0,1,0,146.5208,0,1
32,3,1,34.0,0,0,7.75,2,1
33,2,0,66.0,0,0,10.5,1,0
34,1,0,28.0,1,0,82.1708,0,0
35,1,0,42.0,1,0,52.0,1,0
36,3,0,23.0,0,0,7.2292,0,1
37,3,0,21.0,0,0,8.05,1,0
38,3,1,18.0,2,0,18.0,1,0
39,3,1,14.0,1,0,11.2417,0,1
40,3,1,40.0,1,0,9.475,1,0
41,2,1,27.0,1,0,21.0,1,0
42,3,0,27.0,0,0,7.8958,0,0
43,2,1,3.0,1,2,41.5792,0,1
44,3,1,19.0,0,0,7.8792,2,1
45,3,0,30.0,0,0,8.05,1,0
46,3,0,22.0,1,0,15.5,2,0
47,3,1,27.0,0,0,7.75,2,1
48,3,0,36.0,2,0,21.6792,0,0
